episode,shots,reward,mode_switches,moving_avg_shots,moving_avg_rewards
1806,80,31.90000000000002,2,67.18,31.531999999999975
1807,101,26.799999999999986,2,67.59,31.430999999999976
1808,62,33.69999999999998,2,67.42,31.47799999999998
1809,93,33.59999999999992,4,67.59,31.520999999999976
1810,100,26.89999999999994,4,68.31,31.478999999999978
1811,65,30.399999999999977,4,68.41,31.438999999999975
1812,66,30.299999999999972,4,68.2,31.459999999999976
1813,79,31.99999999999995,4,68.55,31.454999999999977
1814,41,32.79999999999998,5,68.25,31.484999999999978
1815,110,25.89999999999998,3,68.54,31.42599999999998
1816,72,35.69999999999996,4,68.84,31.425999999999974
1817,74,32.500000000000014,3,68.77,31.432999999999975
1818,65,30.399999999999974,3,68.78,31.43199999999997
1819,110,25.899999999999977,4,68.89,31.420999999999978
1820,65,30.399999999999988,4,68.51,31.428999999999974
1821,46,35.29999999999999,3,68.51,31.39899999999998
1822,29,34.0,3,68.19,31.430999999999976
1823,81,31.799999999999976,4,67.92,31.48799999999998
1824,72,35.7,3,67.92,31.547999999999973
1825,59,30.99999999999995,5,68.12,31.617999999999974
1826,94,27.500000000000014,6,68.13,31.616999999999972
1827,45,38.39999999999997,4,67.85,31.764999999999972
1828,62,30.699999999999946,4,67.94,31.695999999999977
1829,63,33.59999999999995,3,67.99,31.750999999999976
1830,152,24.699999999999918,2,68.6,31.689999999999973
1831,40,32.89999999999996,3,68.51,31.668999999999972
1832,93,30.599999999999923,4,68.95,31.594999999999974
1833,85,31.399999999999956,2,69.53,31.566999999999975
1834,77,35.199999999999925,4,69.77,31.57299999999997
1835,61,36.79999999999996,4,69.45,31.664999999999978
1836,75,26.399999999999967,2,69.01,31.648999999999972
1837,68,30.099999999999994,4,69.43,31.606999999999974
1838,74,29.49999999999999,4,69.68,31.581999999999976
1839,47,35.199999999999974,2,69.62,31.587999999999976
1840,51,37.79999999999998,3,69.2,31.68999999999997
1841,94,27.5,4,69.47,31.632999999999974
1842,94,30.5,2,69.94,31.555999999999976
1843,89,28.000000000000014,3,70.21,31.52899999999998
1844,53,37.59999999999997,4,69.95,31.55499999999998
1845,77,26.199999999999992,2,70.04,31.54599999999997
1846,81,28.800000000000015,2,70.29,31.550999999999977
1847,70,35.9,2,70.56,31.643999999999977
1848,45,35.399999999999984,2,70.54,31.615999999999982
1849,119,27.999999999999925,4,71.09,31.560999999999982
1850,68,30.099999999999945,2,70.89,31.580999999999975
1851,132,23.70000000000002,2,71.6,31.569999999999972
1852,104,26.50000000000002,2,72.01,31.468999999999973
1853,60,33.9,4,72.13,31.516999999999975
1854,34,33.5,4,71.72,31.55799999999997
1855,41,32.79999999999998,4,71.65,31.564999999999976
1856,74,29.50000000000002,4,71.69,31.53099999999998
1857,77,29.199999999999996,4,71.79,31.520999999999976
1858,48,32.09999999999999,5,71.34,31.535999999999976
1859,86,28.300000000000026,4,71.6,31.479999999999976
1860,65,27.399999999999984,4,71.87,31.392999999999976
1861,99,29.999999999999964,2,72.32,31.37799999999998
1862,45,38.39999999999998,2,71.69,31.470999999999986
1863,57,34.199999999999974,4,71.72,31.49799999999998
1864,45,32.39999999999999,5,71.56,31.483999999999977
